user_id,active_month,avg_month_logins_amount,days_since_last_login,frecuency_score_last_active_month,is_churn,avg_month_fiat_payment_volumen,avg_month_fiat_payment_tx_amount,avg_month_crypto_payment_volumen,avg_month_earn_volumen,avg_month_earn_tx_amount,avg_month_fiat_cashin_volumen,avg_month_fiat_cashin_tx_amount,avg_month_crypto_cashin_volumen,avg_month_crypto_cashin_tx_amount,avg_month_fiat_cashout_volumen,avg_month_fiat_cashout_tx_amount,avg_month_crypto_cashout_volumen,avg_month_crypto_cashout_tx_amount,total_avg_tx_count,is_engaged
user_08831,5,8.4,1,0.0,0,5.43,1,0.0,0.0,0,156.64,8,0.0,0,156.19,10,0.0,0,19,True
user_08833,9,15.6,00:00:00,0.0,0,41.99,2,0.34,0.27,13,280.6,26,0.0,0,246.93,31,0.0,0,72,True
user_08834,2,4.4,107,16.63,1,58.21,3,0.0,0.0,0,116.38,4,0.0,0,58.38,1,0.0,0,8,True
user_08839,3,24.4,227,678.66,1,196.69,3,0.0,0.0,0,11047.99,88,0.0,0,10142.27,155,0.0,0,246,True
user_08841,6,6.5,196,33.89,1,0.0,1,0.0,0.02,18,0.14,0,0.0,0,0.14,0,0.0,0,19,True
user_08845,2,1.2,319,9.24,1,0.0,1,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,True
user_08848,10,19.2,1,0.0,0,72.23,15,0.59,0.03,6,443.36,17,0.0,0,339.33,51,0.0,0,89,True
user_08855,2,1.1,108,9.46,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1,True
user_08856,2,6.1,157,4.84,1,380.61,19,0.0,0.0,0,448.82,2,0.0,0,0.0,0,0.0,0,21,True
user_08858,3,2.8,103,145.29,1,0.0,0,1214.68,0.0,0,1150.99,3,0.0,1,0.0,1,1257.54,2,7,True
user_08861,2,1.0,278,4.14,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,1,True
user_08879,3,12.6,37,37.3,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1,True
user_08881,11,16.3,00:00:00,0.0,0,30.73,0,1418.99,12.12,15,7226.8,48,0.0,0,5071.6,18,1178.77,4,85,True
user_08884,2,1.0,323,3.59,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,True
user_08886,2,2.1,123,3.75,1,0.0,0,0.0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,2,True
user_08891,3,14.5,46,2.14,1,124.73,5,0.24,0.0,0,336.0,10,0.0,1,227.59,21,0.0,0,37,True
user_08894,13,8.9,1,0.0,0,0.0,1,39.45,0.08,10,33.14,1,0.0,0,0.0,0,0.0,0,12,True
user_08897,2,1.0,325,4.99,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,1,True
user_08899,12,1.9,325,0.0,0,0.0,0,0.0,0.01,18,0.06,0,0.0,0,0.0,0,0.0,0,18,True
user_08904,2,0.9,337,3.85,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,1,True
user_08906,3,2.3,277,4.37,1,0.38,1,0.0,0.0,1,1.92,0,0.32,0,0.31,0,0.0,0,2,True
user_08908,2,2.0,142,6.43,1,0.0,0,0.0,0.0,0,0.91,1,0.0,0,0.92,1,0.0,0,2,True
user_08909,7,5.3,1,0.0,0,328.93,7,0.0,9.12,14,606.7,1,0.0,0,292.37,0,0.0,1,23,True
user_08915,4,8.1,265,92.1,1,167.33,11,0.0,0.0,0,191.0,5,0.0,0,28.88,1,0.0,0,17,True
user_08916,4,3.1,4,0.0,0,0.0,1,0.0,0.01,11,0.1,0,0.0,1,0.0,0,0.0,0,13,True
user_08920,3,0.8,6,39.63,1,0.0,1,7.8,0.0,0,0.0,0,9.64,0,5.83,0,0.0,0,1,True
user_08922,13,6.0,186,0.0,0,39.79,1,0.0,0.06,17,47.31,1,0.0,0,6.77,0,0.0,1,20,True
user_08924,11,14.2,16,51.79,1,341.6,8,0.3,0.0,0,461.64,9,0.0,1,96.88,10,0.0,0,28,True
user_08929,2,1.9,225,3.87,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,True
user_08936,2,5.0,298,11.85,1,191.15,15,0.0,0.0,0,203.56,1,0.0,0,22.54,1,0.0,0,17,True
user_08949,8,5.6,2,0.0,0,0.0,0,11.52,0.0,1,8.6,0,0.0,0,2.43,0,0.0,1,2,True
user_08950,6,21.1,1,0.0,0,5.41,0,190.9,0.0,1,236.53,3,0.0,0,7.32,1,0.0,0,5,True
user_08951,6,4.7,1,0.0,0,0.0,1,0.0,0.0,0,15.48,1,0.0,0,16.31,2,0.0,0,4,True
user_08957,2,2.2,307,12.9,1,0.0,0,0.0,0.0,1,351.18,0,0.0,0,345.45,2,0.0,0,3,True
user_08958,2,1.9,188,9.77,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1,True
user_08969,7,2.7,21,0.0,0,0.0,0,0.56,0.01,9,0.75,0,0.4,0,1.01,0,0.0,0,9,True
user_08973,2,1.8,88,3.99,1,0.0,0,71.15,0.0,0,84.74,1,0.0,0,0.0,1,74.82,1,3,True
user_08975,4,6.6,24,57.46,1,3.83,1,0.92,0.0,0,9.58,5,0.0,0,6.0,6,0.0,0,12,True
user_08976,8,7.7,1,0.0,0,0.0,0,529.06,0.0,0,3070.77,13,65.79,1,2340.39,9,615.0,0,23,True
user_08982,6,7.5,1,0.0,0,7.15,0,138.86,5.49,6,0.0,0,229.01,0,96.92,3,0.0,0,9,True
user_08984,3,4.0,46,14.4,1,0.0,1,0.0,0.0,0,0.01,1,0.0,0,0.0,0,0.0,0,2,True
user_08990,2,2.4,158,5.02,1,0.0,0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,1,True
